name,date,variable,strat,type,bottom,top,lower,upper,median,mean,sd
Chenango,2020-07-03,R,NA,Estimate,1.00991745937001,1.42379580678475,1.10021285256437,1.26112743961442,1.20499248358399,1.21962966820949,0.137399951246034
Chenango,2020-07-04,R,NA,Estimate,0.989569917638196,1.38420843716596,1.05453454531088,1.21021972961243,1.16551592659329,1.1838165579594,0.130266101001972
Chenango,2020-07-05,R,NA,Estimate,0.958229754375038,1.337275390066,1.03900310698821,1.18401070213805,1.12774735470906,1.14658555902703,0.123603348446668
Chenango,2020-07-06,R,NA,Estimate,0.922749270551402,1.29295492212162,1.01473011652569,1.15260848245082,1.09558037369115,1.10857819537247,0.117570851350187
Chenango,2020-07-07,R,NA,Estimate,0.879148539784932,1.23357720734384,0.981985049641305,1.11581468710976,1.06179701421265,1.07040754039754,0.112328421892989
Chenango,2020-07-08,R,NA,Estimate,0.863771252150001,1.20479019874922,0.959474455038405,1.08853211854622,1.02611696986257,1.03264338522469,0.108027014288564
Chenango,2020-07-09,R,NA,Estimate,0.824058598853659,1.15636699104883,0.925315539231057,1.0557188203072,0.99225609633506,0.995800105482813,0.104784567606402
Chenango,2020-07-10,R,NA,Estimate,0.788215116259945,1.11544510366308,0.894129462370399,1.02268919387676,0.960870999653718,0.960327749424043,0.102656878693292
Chenango,2020-07-11,R,NA,Estimate,0.754734008942006,1.07967303401158,0.878435355346784,1.00509102259189,0.92943353882944,0.926606718152439,0.101616728392228
Chenango,2020-07-12,R,NA,Estimate,0.737291097415781,1.06506109256982,0.849271344877794,0.975434162668473,0.897977903247555,0.894946134166518,0.101551635230902
Chenango,2020-07-13,R,NA,Estimate,0.698688830870435,1.02705108766479,0.824374819255925,0.952781920143026,0.868715254064021,0.865585672400738,0.102281863580211
Chenango,2020-07-14,R,NA,Estimate,0.677795765149857,1.00931553057459,0.784026981165958,0.917444583986377,0.844736017522898,0.838700338134578,0.103591058215235
Chenango,2020-07-15,R,NA,Estimate,0.621605304216079,0.962312020407111,0.760123071037102,0.892153582321287,0.819813907528883,0.81440747592664,0.105258107073529
Chenango,2020-07-16,R,NA,Estimate,0.609426728864563,0.959191448008079,0.752306964103417,0.886190892984269,0.797335513130647,0.792775206937924,0.107081540653997
Chenango,2020-07-17,R,NA,Estimate,0.600014315967739,0.955824228595274,0.734439197024273,0.871844665452259,0.779516773128046,0.773831511427371,0.1088932355529
Chenango,2020-07-18,R,NA,Estimate,0.570043366730138,0.930291671915918,0.711602802916888,0.850780633565526,0.763380923821805,0.757573271310598,0.110562564360724
Chenango,2020-07-19,R,NA,Estimate,0.563692430100733,0.929890605826765,0.698602848050504,0.840294737008483,0.748762538201699,0.743974729163835,0.111994143712287
Chenango,2020-07-20,R,NA,Estimate,0.55290319837113,0.920201193402637,0.679783691967572,0.824904743307794,0.740412770367857,0.732994971920771,0.113122561657251
Chenango,2020-07-21,R,NA,Estimate,0.545603417987755,0.911526931231657,0.674381145034979,0.822779840640016,0.730917852663909,0.724584185172613,0.113906844986485
Chenango,2020-07-22,R,NA,Estimate,0.542780240544314,0.911112004613276,0.684609082768894,0.838449666401249,0.724080937222866,0.718688534059312,0.114326523097739
Chenango,2020-07-23,R,NA,Estimate,0.519751231672219,0.884105458529762,0.6582419057473,0.811981848749121,0.724410622346472,0.715253607547332,0.114380165295948
Chenango,2020-07-24,R,NA,Estimate,0.517624632868544,0.884676702503892,0.66534665564898,0.820149221480338,0.723357769704751,0.714226423064733,0.114086267779562
Chenango,2020-07-25,R,NA,Estimate,0.536929463983716,0.904096006203041,0.656689176482665,0.808626245095308,0.723161799842099,0.715556043203387,0.11348540346342
Chenango,2020-07-26,R,NA,Estimate,0.544168392513826,0.906838645737714,0.670546481522873,0.821047340591575,0.725553417247474,0.719192920619706,0.112641767054522
Chenango,2020-07-27,R,NA,Estimate,0.538902134519916,0.895752421980974,0.669860806671545,0.818252703752763,0.73162090237759,0.725087167869469,0.111641914122885
Chenango,2020-07-28,R,NA,Estimate,0.54800765383125,0.897353048382292,0.665803302283802,0.813393015799313,0.741703809668423,0.733186036320826,0.110588959621277
Chenango,2020-07-29,R,NA,Estimate,0.568255587873466,0.912979326634493,0.679260617374103,0.823832115797851,0.751292467976511,0.743430955919456,0.109592037182474
Chenango,2020-07-30,R,NA,Estimate,0.581892384955881,0.925553353865047,0.706797263597247,0.847991860969503,0.764469925939758,0.755754499882518,0.108753246647022
Chenango,2020-07-31,R,NA,Estimate,0.598731159974308,0.942773433176549,0.724621128444975,0.86116002430228,0.778025831067951,0.770077567982385,0.108156650473847
Chenango,2020-08-01,R,NA,Estimate,0.622583033371851,0.960587339108866,0.741419084692729,0.873061973872968,0.793606199950594,0.786306928755726,0.107864512793434
Chenango,2020-08-02,R,NA,Estimate,0.635206671022501,0.969176815280903,0.749303611653631,0.879520251711003,0.811555822316543,0.804333061400646,0.107923758972576
Chenango,2020-08-03,R,NA,Estimate,0.652729332611215,0.992711629258514,0.792800959497487,0.920920944745318,0.831146910128136,0.824028057144415,0.108381176628138
Chenango,2020-08-04,R,NA,Estimate,0.680297437241021,1.02906034971847,0.802859214697456,0.93008106341107,0.850684689163178,0.845243244865131,0.109301522576605
Chenango,2020-08-05,R,NA,Estimate,0.669933215568123,1.02901299355953,0.806602364575891,0.929883494660184,0.866285849875687,0.867806237785965,0.110780734344508
Chenango,2020-08-06,R,NA,Estimate,0.701838078422101,1.06698915912521,0.835241446907844,0.957040229753111,0.886744891319674,0.891517257280427,0.112947361754943
Chenango,2020-08-07,R,NA,Estimate,0.708219708532539,1.08543870406863,0.83057342090236,0.957043548959497,0.909869345622643,0.916144842801583,0.115948099303934
Chenango,2020-08-08,R,NA,Estimate,0.760681927524924,1.14860682707865,0.852774071391797,0.982253913082891,0.930823688148943,0.941421356683544,0.11991711261339
Chenango,2020-08-09,R,NA,Estimate,0.784600665272692,1.18093643073238,0.851820198654551,0.989710595385776,0.951824720093332,0.967038993305187,0.124933879472435
Chenango,2020-08-10,R,NA,Estimate,0.806583459345399,1.20610984123671,0.878538393042198,1.02425169392301,0.972620225298798,0.992647258716219,0.130980025124762
Chenango,2020-08-11,R,NA,Estimate,0.800991724778638,1.22463217684266,0.872278673496764,1.02583970923969,0.996940241000689,1.01785304546002,0.137909196272477
Chenango,2020-08-12,R,NA,Estimate,0.821794410811257,1.26268319415549,0.897489715056917,1.06036435632163,1.01611941766667,1.04222442415129,0.145441692798896
Chenango,2020-08-13,R,NA,Estimate,0.845471212883569,1.3145380848566,0.912264669621683,1.08389375319261,1.03624660659926,1.06529905168163,0.153187272890295
Chenango,2020-08-14,R,NA,Estimate,0.859025805249546,1.3469114010837,0.957252977389328,1.13237818743902,1.05794244332319,1.08659763548009,0.160689981752059
Chenango,2020-08-15,R,NA,Estimate,0.864652478864905,1.36546849739472,0.968312154296134,1.15502137583382,1.07490652720273,1.10564223402143,0.167483273503888
Chenango,2020-08-16,R,NA,Estimate,0.87838317909326,1.38991031451572,0.976984728306207,1.17250668337751,1.09189840777331,1.12197841933326,0.173143528040903
Chenango,2020-08-17,R,NA,Estimate,0.875978300119234,1.39734831121495,0.961416145102905,1.16327556472257,1.10587204530016,1.13519962475102,0.17733318020533
Chenango,2020-08-18,R,NA,Estimate,0.892506537976925,1.42130443637671,0.945753751951594,1.15322889931091,1.11456910924769,1.14497150408993,0.179828468934813
Chenango,2020-08-19,R,NA,Estimate,0.875150374456931,1.41367816101572,0.955024216163164,1.1674015985473,1.11991922017034,1.15105395183569,0.180530203017203
Chenango,2020-08-20,R,NA,Estimate,0.900212435292096,1.4504464120412,0.987521285096603,1.20302803725506,1.12303864549366,1.15331861599206,0.179459075515526
Chenango,2020-08-21,R,NA,Estimate,0.879820933475745,1.42979293910648,0.994741724430733,1.20787718817496,1.12698356445812,1.15176022301094,0.176739943153165
Chenango,2020-08-22,R,NA,Estimate,0.897963174351779,1.42242527414313,0.979203576721103,1.18615551287209,1.12522532231664,1.14650070764848,0.172581314279036
